event_number	date	day	month	year	location	latitude	longitude	country	industry	facility	site	unit	mode	ines	ines_guess	region	description	type	status	capacity	connection_year	comments	core_relevant	origin_description	origin	cause_description	cause	lower_limit	upper_limit
685	2003-08-14	685	685	685	Ontario, United States	34.065846	-117.6484304	United States	Energy	Plant	GINNA	Single	?		1		Reactor trip and loss of offsite power occurred as a result of the power blackout in the Northeast United States on August 14, 2003.  	PWR	Operational	608	1969		1	Offsite power blackout	3		T	3.0	10.0
686	2003-04-24	686	686	686	Port Gibson, United States	31.9609914	-90.9839943	United States	Energy	Plant	GRAND GULF	1	?		1		Plant-centered LOOP and subsequent loss of the instrument air system.  	BWR	Operational	1500	1984		1	Natural hazards: thunderstor & high wind	3		T	15.0	19.0
687	2010-02-22	687	687	687	Hartsville, United States	34.3740431	-80.0734005	United States	Energy	Plant	ROBINSON	2	?		1		Concurrent unavailabilities- EDG B inoperable due to failed output breaker and EDG A unavailable due to testing and maintenance.  	PWR	Operational	780	1970		1	EDG	1	vendor workmanship error	H	0.0	1.0
689	1996-08-01	689	689	689	Haddam Neck, United States	41.5115172	-72.5121998860402	United States	Energy	Plant	HADDAM NECK	Single	?		2		Potentially inadequate RHR pump net positive suction head following a large- or medium-break LOCA because of design errors.	PWR	Permanent Shutdown	603	1967		1	RHR	1	Design error	H	0.0	0.0
690	2000-06-26	690	690	690	New Hill, United States	35.6809856	-78.9355668	United States	Energy	Plant	HARRIS	1	?		1		Degraded fire barriers and inadequate fire brigade practice for switchgear room B.	PWR	Operational	960	1987		1	Event at auxiliary building: fire	3	inadequate design & procedure	H	1.0	10.0
691	1999-05-15	691	691	691	New Hill, United States	35.6809856	-78.9355668	United States	Energy	Plant	HARRIS	1	?		1		Charging/SI Pump “C” inoperable for a time in excess of the TS LCO action statement requirements.	PWR	Operational	960	1987		1	Charging Safety Injection Pump (CSIP)	1		T	0.0	1.0
692	2001-10-08	692	692	692	New Hill, United States	35.6809856	-78.9355668	United States	Energy	Plant	HARRIS	1	?		1		Debris accumulated in suction lines to the A residual heat removal (RHR) pump and a containment spray pump.	PWR	Operational	960	1987		1	RHR, containment spray	1	Work Practices; Workmanship, substandard cleanliness	H	0.0	0.0
694	2008-07-12	694	694	694	Baxley, United States	31.7782514	-82.3484618	United States	Energy	Plant	HATCH	1,2	?		1		Degraded coupling leads to emergency diesel generator inoperability.  	BWR	Operational	911;921	1974;1978		0	EDG	1	Inadequate maintenance	H	0.0	1.0
695	1985-05-15	695	695	695	Baxley, United States	31.7782514	-82.3484618	United States	Energy	Plant	HATCH	1	?		2		Heating, ventilation, and air conditioning (HVAC) water shorts panel; safety relief valve (SRV) fails open; HPCI fails; reactor core isolation cooling (RCIC) unavailable Water from an HVAC vent fell onto an analog transmitter trip system panel in the control room (the water was from the control room HVAC filter deluge system which had been inadvertently activated as a result of unrelated maintenance activities).  This resulted in the lifting of the SRV four times.  The SRV stuck open on the fourth cycle, initiating a transient.  Moisture also energized the HPCI trip solenoid making HPCI inoperable.  RCIC was unavailable due to maintenance.	BWR	Operational	911	1974		1		1		T	3.0	5.0
697	1979-06-03	697	697	697	Baxley, United States	31.7782514	-82.3484618	United States	Energy	Plant	HATCH	2	1		2		During a power increase, the reactor tripped due to a condensate system trip.  HPCI failed to initiate on low-low level due to a failed turbine stop valve.  In addition, water from leaking mechanical seal lines and an unknown valve caused water to back up and contaminate the pump oil. RCIC was out of service for unspecified reasons.	BWR	Operational	921	1978		1	HPCI, condensate system	1,2		?		
698	2004-10-10	698	698	698	Salem, United States	44.9391565	-123.033121	United States	Energy	Plant	HOPE CREEK	1	?		1		Manual reactor scram due to moisture separator reheater drain line failure.  	BWR	Operational	1240	1986		1	Turbine buidling	2		T	20.0	30.0
699	2003-07-01	699	699	699	Salem, United States	44.9391565	-123.033121	United States	Energy	Plant	HOPE CREEK	1	?		1		"Station service water Train ""A"" traveling screen failed due to inadequate maintenance instructions."	BWR	Operational	1240	1986		1	station service water system (SSWS)	2	Improper maintenance	H	0.0	0.0
700	2005-04-27	700	700	700	Buchanan, United States			United States	Energy	Plant	INDIAN POINT	2	?		1		Potential degradation of safety injection system due to nitrogen accumulation from leaking accumulator.  	PWR	Operational	1067	1973		1	Emergency Core Cooling System (ECCS)	1	Inadequate maintenance	H	0.0	1.0
701	2003-08-14	701	701	701	Buchanan, United States			United States	Energy	Plant	INDIAN POINT	2,3	?		2		Reactor trip and loss of offsite power occurred as a result of the power blackout in the Northeast United States on August 14, 2003.  	PWR	Operational	1067;1085	1973;1976		1	Offsite power blackout	3		T	3.0	5.0
703	1999-08-31	703	703	703	Buchanan, United States			United States	Energy	Plant	INDIAN POINT	2	?		1		Loss of offsite power to safety-related buses following a reactor trip and an emergency diesel output breaker trip.	PWR	Operational	1067	1973		1		1		T?	68.12	86.12
704	2005-10-05	704	704	704	Carlton, United States	46.5799933	-92.7206334	United States	Energy	Plant	KEWAUNEE	Single	?		2		Design deficiency could cause unavailability of safety-related equipment during postulated internal flooding.  	PWR	Permanent Shutdown	595	1974		1		1	inadequate design control	H	0.0	10.0
705	2006-08-17	705	705	705	Carlton, United States	46.5799933	-92.7206334	United States	Energy	Plant	KEWAUNEE	Single	?		1 to 2		Degraded EDG caused by fuel oil leak.  	PWR	Permanent Shutdown	595	1974		1	EDG	1	Inadequate maintenance	H	0.0	0.0
706	2002-10-30	706	706	706	Carlton, United States	46.5799933	-92.7206334	United States	Energy	Plant	KEWAUNEE	Single	?		2		Potentially unavailable safety-related equipment due to lack of fixed fire suppression system.	PWR	Permanent Shutdown	595	1974		1	a fire area where alternative or dedicated shutdown capability was provided	1?	Inadquate design	H	0.0	1.0
708	2003-02-26	708	708	708	Carlton, United States	46.5799933	-92.7206334	United States	Energy	Plant	KEWAUNEE	Single	?		1		Concurrent unavailabilities EDG B inoperable due to faulty relay and EDG A out for test and maintenance.	PWR	Permanent Shutdown	595	1974		1	EDG	1		T	0.8	1.0
710	1975-05-11	710	710	710	Carlton, United States	46.5799933	-92.7206334	United States	Energy	Plant	KEWAUNEE	Single	?		2		Inoperable AFW pumps during startup as a result of leaks from the demineralizer into the condensate storage tank (CST) Mixed bed resin beads were leaking from the demineralizer in the makeupwater system and migrated to the CST.  As a result, during startup, both motor-driven AFW pump suction strainers became clogged, thereby resulting in low pump flow.  The same condition occurred for the turbine-driven AFW pump suction strainer.  	PWR	Permanent Shutdown	595	1974		1	Auxiliary feedwater pump (AFW/EFW)	1		?		
711	2005-02-02	711	711	711	Marseilles, United States	41.3308666	-88.7081293	United States	Energy	Plant	LASALLE	1,2	?		1 to 2		Single-failure vulnerability of 4160 V ESF bus protective relay schemes caused by common power metering circuits.	BWR	Operational	1207	1982;1984		1	safety related buses 	1	inadequate design review	H	1.0	10.0
713	1984-09-21	713	713	713	Marseilles, United States	41.3308666	-88.7081293	United States	Energy	Plant	LASALLE	1	?		2		Operator error causes scram; RCIC unavailable; RHR unavailable. While at 23-percent power, an operator error caused a reactor scram and MSIV closure. RCIC was found to be unavailable during testing (one RCIC pump was isolated and the other pump tripped during the test). RHR was found to be unavailable during testing due to an inboard suction isolation valve failing to open on demand.  Both RHR and RCIC may have been unavailable after the reactor scram.	BWR	Operational	1207	1982		1	Reactor Core Isolation Cooling (RCIC)	1	dirty and/or contaminated lubrication oil	T	1.0	5.0
714	1996-06-28	714	714	714	Marseilles, United States	41.3308666	-88.7081293	United States	Energy	Plant	LASALLE	1,2	?		1		Fouling of the cooling water systems due to concrete sealant injected into the service water tunnel	BWR	Operational	1207	1982;1984		1	Service water tunnel: source for the Essential Service Water System, Non-essential Service Water Systems and the Fire Protection systems	1	Inadequate work control	H	40.0	60.0
716	2001-09-03	716	716	716	Marseilles, United States	41.3308666	-88.7081293	United States	Energy	Plant	LASALLE	2	?		1		Reactor scram, loss of offsite power to vital bus (blown fuses), and subsequent unavailabilities: core spray pump, residual heat removal pump, and control rod drive pump.  	BWR	Operational	1207	1984		1	Division 1 undervoltage (UV) protective circuit	1	failec fuses	T	8.0	10.0
717	2011-04-23	717	717	717	Limerick, United States	40.2309343	-75.5221245	United States	Energy	Plant	LIMERICK	2	?		1		Reactor core isolation cooling (RCIC) inoperable because of main feedwater valve failures diverting RCIC flow to the main condenser.	BWR	Operational	1194	1989		0	primary containment isolation valve (PCIV), core isolation cooling system (RCIC)	1	Inadequate procedure	H	0.0	0.0
718	2001-02-23	718	718	718	Limerick, United States	40.2309343	-75.5221245	United States	Energy	Plant	LIMERICK	2	?		1		Inadvertent opening/stuck open main steam relief valve(MSRV).  	BWR	Operational	1194	1989		1	Main Steam Relief Valve (MSRV)	2	erosion and oxidation	T	8.0	11.0
719	2007-08-06	719	719	719	Cornelius, United States	35.4817982	-80.8589501	United States	Energy	Plant	MCGUIRE	1,2	?		1		Potential inoperability of service water strainer backwash system during accident conditions. 	PWR	Operational	1215	1981;1983		0	Nuclear Service Water (RN) System	1?	deficient procedure guidance	H	1.0	10.0
720	2011-02-12	720	720	720	Waterford, United States	39.188317	-77.6115402	United States	Energy	Plant	MILLSTONE	2	?		1 to 2		Inadequate procedures and operator errors caused unplanned reactivity additions during main turbine control valve testing.  	PWR	Operational	918	1975		1		1	deficient procedure guidance	H	0.0	0.0
721	2000-09-20	721	721	721	Waterford, United States	39.188317	-77.6115402	United States	Energy	Plant	MILLSTONE	2	?		1		Failure of turbine-driven auxiliary feedwater pump during testing.	PWR	Operational	918	1975		1	Auxiliary feedwater pump (AFW/EFW)	1	Inadequate maintenance	H	0.0	1.0
722	2006-02-23	722	722	722	Waterford, United States	39.188317	-77.6115402	United States	Energy	Plant	MILLSTONE	2	?		1		Reactor trip caused by loss of instrument air.  	PWR	Operational	918	1975		1	Turbine buidling	2		T	6.0	7.0
724	1976-07-20	724	724	724	Waterford, United States	39.188317	-77.6115402	United States	Energy	Plant	MILLSTONE	2	?		3		With the reactor at power, a main circulating water pump was started, and this resulted in an in-plant voltage reduction to below the revised trip set point.  This isolated the safety-related buses and started the EDGs.  Each time a major load was tied onto the diesel, the revised under-voltage trip set points tripped the load.  As a result, at the end of the EDG loading sequence, all major loads were isolated even though the EDGs were tied to the safety-related buses.  	PWR	Operational	918	1975	<LC> ref/source missing	1						
725	1981-01-02	725	725	725	Waterford, United States	39.188317	-77.6115402	United States	Energy	Plant	MILLSTONE	2	?		2		"When the reactor was at full power, the 125v DC emergency bus was lost as a result of operator error.  The loss of the bus caused the reactor to trip, but the turbine failed to trip because of the unavailability of DC bus ""A""  Loads were not switched to the reserve transformer (following the manual turbine trip) because of the loss of DC bus ""A"".  Two breakers (on the ""B"" 6.9kV and 4.16kV buses) remained open, thereby causing a LOOP.  EDG ""B"" tripped as a result of leakage of the service water (SW) flange, which also caused the ""B"" 4.16 kV bus to be deenergized. An operator recognition error caused the PORV to be opened at 2380 psia."	PWR	Operational	918	1975		1		1		H	1.0	10.0
726	2013-08-11	726	726	726	Waterford, United States	39.188317	-77.6115402	United States	Energy	Plant	MILLSTONE	3	?		1		Turbine Driven Auxiliary Feedwater Pump Operability Impacted by Incorrect Bearing.  	PWR	Operational	1280	1986		0	Auxiliary feedwater pump (AFW/EFW)	1	Inadequate inspection & maintenance	H	0.0	1.0
728	2012-02-29	728	728	728	Monticello, United States	38.01032755	-78.4523439044681	United States	Energy	Plant	MONTICELLO	Single	?		1 to 2		Failure to maintain flood plan to protect the site against external flooding events.  	BWR	Operational	691	1971		1	Natural hazards: external flood	3	Inadequate design	H	0.0	0.0
729	2003-03-07	729	729	729	Scriba, United States	43.465347	-76.430493	United States	Energy	Plant	NINE MILE POINT	1	?		1		Potential unavailability of reactor building closed loop cooling system due to degraded piping.	BWR	Operational	642	1969		1	reactor building closed loop cooling (RBCLC)	1	Inadequate design, inspection, maintenance	H	0.0	0.0
730	2003-08-14	730	730	730	Scriba, United States	43.465347	-76.430493	United States	Energy	Plant	NINE MILE POINT	1,2	?		1		Grid-related LOOP due to August 14, 2003 Northeast Blackout.	BWR	Operational	642;1320	1969;1987		1	Offsite power blackout	3		T	14.0	18.0
734	2001-11-13	734	734	734	Mineral, United States			United States	Energy	Plant	NORTH ANNA	2					RPV head leakage due to PWSCC of one CRDM nozzle.	PWR	Operational	1011	1980		1	RPV head	1	PWSCC	T	80.0	150.0
736	2006-04-28	736	736	736	Oconee, United States	33.829579	-83.4275918	United States	Energy	Plant	OCONEE	1,2,3	?		1		Failure to maintain design control for an SSF flooding boundary.  	PWR	Operational	891;891;900	1973;1973;1974		0	Standby Shutdown Facility (SSF)	1	Inadequate maintenance procedure	H	0.0	0.0
737	2008-04-15	737	737	737	Oconee, United States	33.829579	-83.4275918	United States	Energy	Plant	OCONEE	1,2,3	?		1		Procedure error leads to loss of reactor coolant system inventory while shutdown.	PWR	Operational	891;891;900	1973;1973;1974		0	Main generator	2	Inadequate maintenance procedure	H	10.0	100.0
740	2013-11-11	740	740	740	Oconee, United States	33.829579	-83.4275918	United States	Energy	Plant	OCONEE	1	?		1 to 2		High Cycle Fatigue Resulted in Reactor Coolant Leak and Unit Shutdown. 	PWR	Operational	891	1973		1	High Pressure Injection (HPI)	1	Inadequate inspection & maintenance	H	30.0	50.0
741	2001-04-30	741	741	741	Oconee, United States	33.829579	-83.4275918	United States	Energy	Plant	OCONEE	1,2,3	?		1 to 2		Potential unavailability of high pressure injection (HPI) and component cooling water (CCW) pumps due to flooding caused by a postulated break on non-seismically qualified piping.	PWR	Operational	891;891;900	1973;1973;1974		1	Natural hazard: seismic	3	Inadequate design	H	0.0	0.0
742	2000-12-04	742	742	742	Oconee, United States	33.829579	-83.4275918	United States	Energy	Plant	OCONEE	1					RPV head leakage resulted from primary water stress corrosion cracking(PWSCC) of one CRDM nozzle.  	PWR	Operational	891	1973		1	RPV head	1	PWSCC	T	5.0	15.0
743	1999-02-24	743	743	743	Oconee, United States	33.829579	-83.4275918	United States	Energy	Plant	OCONEE	1,2,3	?		1 to 2		Postulated high-energy line leaks or breaks in turbine building leading to failure of safety-related 4 kV switch gear.	PWR	Operational	891;891;900	1973;1973;1974		1	Turbine buidling	2		H?	0.0	0.0
745	2000-06-19	745	745	745	Oconee, United States	33.829579	-83.4275918	United States	Energy	Plant	OCONEE	1,2,3	?		1		Non-seismic 16-inch fire system piping header transited through the auxiliary building and posed a potential flooding problem if the piping ruptured during a seismic event.	PWR	Operational	891;891;900	1973;1973;1974		1	Natural hazard: seismic	3	Inadequate design, inspection, maintenance	H	0.0	0.0
748		748	748	748	Oconee, United States	33.829579	-83.4275918	United States	Energy	Plant	OCONEE	1,2,3	?		1		Incorrect calibration of the borated water storage tank (BWST) level instruments resulted in a situation where the emergency operating procedure (EOP) requirements for BWST-to-reactor building emergency sump transfer would never have been met; operators would be working outside the EOP	PWR	Operational	891;891;900	1973;1973;1974		1	Emergency Core Cooling System (ECCS)	1	Deficient Written Documentation, technical inaccuracy	H	0.0	0.0
751	2010-02-20	751	751	751	Oconee, United States	33.829579	-83.4275918	United States	Energy	Plant	OCONEE	1,2,3	?		1 to 2		Standby shutdown facility reactor coolant make-up system letdown line orifice strainer blocked by valve gasket.	PWR	Operational	891;891;900	1973;1973;1974		1	Standby Shutdown Facility (SSF) Reactor Coolant Make-Up (RCMU) system	1		T;H	5.0	10.0
752	2011-08-11	752	752	752	Oconee, United States	33.829579	-83.4275918	United States	Energy	Plant	OCONEE	1,2,3	?		2		Failure to maintain design control of the SSF pressurizer heater breakers.  	PWR	Operational	891;891;900	1973;1973;1974		1	Standby Shutdown Facility pressurizer (PZR)	1	Inadequate design	H	0.0	1.0
755	2001-04-28	755	755	755	Oconee, United States	33.829579	-83.4275918	United States	Energy	Plant	OCONEE	2					RPV head leakage due to PWSCC of four CRDM nozzles.	PWR	Operational	891	1973		1	RPV head	1	PWSCC	T	50.0	150.0
757	2006-05-01	757	757	757	Oconee, United States	33.829579	-83.4275918	United States	Energy	Plant	OCONEE	3	?		1		Potentially degraded containment sump recirculation because of debris.	PWR	Operational	900	1974		0	reactor building emergency sump suction lines	1	Inadequate procedure	H	0.0	0.0
760	2002-05-30	760	760	760	Oconee, United States	33.829579	-83.4275918	United States	Energy	Plant	OCONEE	3	?		1		Potential unavailability of a HPI pump due to improperly installed wire connectors during a postulated severe LOOP or high energy line break (HELB).  	PWR	Operational	900	1974		1	high pressure injection (HPI) pump	1	Improper maintenance	H	0.0	0.0
763	2001-02-18	763	763	763	Oconee, United States	33.829579	-83.4275918	United States	Energy	Plant	OCONEE	3					RPV head leakage due to PWSCC of nine CRDM nozzles.	PWR	Operational	900	1974		1	RPV head	1	PWSCC	T	100.0	200.0
764		764	764	764	Oconee, United States	33.829579	-83.4275918	United States	Energy	Plant	OCONEE	1,2,3	?		1 to 2		Potential inoperability of a HPI pump following a tornado of F3, F4, or F5 severity.	PWR	Operational	891;891;900	1973;1973;1974		1	Natural hazard: tornado	3	Inadequate procedure	H	0.0	1.0
766		766	766	766	Forked River, United States	39.8398413	-74.1901399	United States	Energy	Plant	OYSTER CREEK	Single	?		2		Technical Specification Prohibited Condition Causedby Two Electromagnetic Relief Valves Inoperable for Greater Than Allowed Outage Time.  	BWR	Operational	652	1969		1	Electromagnetic relief valves (EMRVs)	1	inadequate design & procedure	H	4.0	7.0
767	2014-09-12	767	767	767	Forked River, United States	39.8398413	-74.1901399	United States	Energy	Plant	OYSTER CREEK	Single	?		1 to 2		Technical Specification Prohibited Condition Caused by Emergency Diesel Generator Inoperable for greater than allowed outage time. 	BWR	Operational	652	1969		1	EDG	1		T;H	0.0	1.0
768	2003-05-20	768	768	768	Forked River, United States	39.8398413	-74.1901399	United States	Energy	Plant	OYSTER CREEK	Single	?		1		Loss of 4.16kV Emergency Bus 1C due to ground fault in normally energized underground cable.	BWR	Operational	652	1969		1	Power supply: 4160 VAC bus 1C	2?	cable degradation	T	9.0	11.0
769	1979-05-02	769	769	769	Forked River, United States	39.8398413	-74.1901399	United States	Energy	Plant	OYSTER CREEK	Single	?		2		While testing the isolation condenser, a reactor scram occurred.  The feedwater pump tripped and failed to restart. The recirculation pump inlet valves were closed. The isolation condenser was used during cooldown.	BWR	Operational	652	1969		1	Isolation condenser	1		?	1.0	10.0
770	2010-10-17	770	770	770	South Haven, United States	42.4030865	-86.2736407	United States	Energy	Plant	PALISADES	Single	?		1		Turbine-driven AFW pump unavailable because of greasing of the wrong component in the pump.	PWR	Operational	850	1971		0	Auxiliary feedwater pump (AFW/EFW)	1	Improper maintenance	H	0.0	0.0
771	2001-06-21	771	771	771	South Haven, United States	42.4030865	-86.2736407	United States	Energy	Plant	PALISADES	Single	?		1		RPV head leakage due to PWSCC of one CRDM nozzle	PWR	Operational	850	1971		1	RPV head	1	PWSCC	T	280.0	350.0
772	2001-09-11	772	772	772	South Haven, United States	42.4030865	-86.2736407	United States	Energy	Plant	PALISADES	Single	?		1		Smoke detectors in the cable room were not installed in accordance with code.  	PWR	Operational	850	1971		1	Event at auxiliary building: (potential) fire in cable spreading room	3?	Inadequate design	H	0.0	0.0
773	2003-03-25	773	773	773	South Haven, United States	42.4030865	-86.2736407	United States	Energy	Plant	PALISADES	Single	?		1		Plant-centered LOOP (Mode 6) and temporary loss of shutdown cooling.	PWR	Operational	850	1971		1	Power supply: control power cable associated with offsite power feeds	2	deficient procedure guidance	H	0.0	1.0
775	2004-07-31	775	775	775	Wintersburg, United States	33.4244571	-112.8680151	United States	Energy	Plant	PALO VERDE	1,2,3	?		2		Containment sump recirculation potentially inoperable due to pipe voids.	PWR	Operational	1414	1985;1986;1987		1	Emergency Core Cooling System (ECCS)	1	Inadequate procedure	H	1.0	10.0
776	2004-02-19	776	776	776	Wintersburg, United States	33.4244571	-112.8680151	United States	Energy	Plant	PALO VERDE	2	?		1		Failure to implement design of steam generator nozzle dam requiring an extended time in reduced RCS inventory configuration.  	PWR	Operational	1414	1986		1	Steam generator	2	Improper maintenance	H	0.0	0.0
779	2006-07-25	779	779	779	Wintersburg, United States	33.4244571	-112.8680151	United States	Energy	Plant	PALO VERDE	3	?		1		Inoperable EDG caused by inadequate maintenance procedures and corrective actions. 	PWR	Operational	1414	1987		0	EDG	1	Inadequate procedure & maintenance	H	0.0	0.0
781	2004-03-17	781	781	781	York County, United States	39.9067499	-76.7008946	United States	Energy	Plant	PEACH BOTTOM	3	?		1		High-pressure coolant injection (HPCI) unavailable due to failed flow controller.	BWR	Operational	1412	1974		1	High Pressure Coolant Injection (HPCI)	1	Failed flow controller	T	0.0	1.0
782	2003-08-14	782	782	782	Perry, United States	38.0772859	-89.3760499	United States	Energy	Plant	PERRY	1	?		1		Grid-related LOOP due to August 14, 2003 Northeast Blackout.	BWR	Operational	1303	1986		1	offsite power blackout	3		T	15.0	19.0
783	2003-09-05	783	783	783	Perry, United States	38.0772859	-89.3760499	United States	Energy	Plant	PERRY	1	?		1		ESW pump A failure to run due to shaft failure and inadequate repairs led to a second failure.	BWR	Operational	1303	1986		1	Emergency service water system (ESWS)	1	stress corrosion cracking (SCC); inadequate procedure	T;H	5.0	20.0
784	2011-05-10	784	784	784	Plymouth, United States	41.9584367	-70.6672577	United States	Energy	Plant	PILGRIM	1	?		1		Failure to effectively implement operations and reactivity control standards and procedures during a reactor startup caused an unrecognized subcriticality and return to criticality with a subsequent reactor scram.	BWR	Operational	711	1972		0	Reactor	1	operational deficiencies	H	0.0	0.0
785	2013-02-08	785	785	785	Plymouth, United States	41.9584367	-70.6672577	United States	Energy	Plant	PILGRIM	1	?		1		LOOP events due to Winter Storm Nemo.	BWR	Operational	711	1972		1	Natural hazard: storm	3		T	7.0	13.0
786	2013-10-14	786	786	786	Plymouth, United States	41.9584367	-70.6672577	United States	Energy	Plant	PILGRIM	1	?		1		LOOP and Reactor Scram.  	BWR	Operational	711	1972		1	Offsite substatio	3		T	8.0	15.0
787	2012-05-21	787	787	787	Two Creeks, United States	44.3022186	-87.5631378	United States	Energy	Plant	POINT BEACH	1	?		0 to 1		Inadequate maintenance leads to failure of turbine-driven auxiliary feedwater pump.	PWR	Operational	640	1970		0	Auxiliary feedwater pump (AFW/EFW)	1	Inadequate maintenance procedure	H	0.0	1.0
788	2013-03-13	788	788	788	Two Creeks, United States	44.3022186	-87.5631378	United States	Energy	Plant	POINT BEACH	1,2	?		1 to 2		Flooding procedure failed to protect safety-related equipment.  	PWR	Operational	640	1970;1972		1	Natural hazards: external flood	3	Inadequate design	H	0.0	10.0
789	2002-10-29	789	789	789	Two Creeks, United States	44.3022186	-87.5631378	United States	Energy	Plant	POINT BEACH	1,2	?		1 to 2		Potential common-mode failure of all EFW pumps due to clogging of recirculation lines during switch over to service water.  	PWR	Operational	640	1970;1972		1	Auxiliary feedwater pump (AFW/EFW)	1	Inadequate design	H	0.0	1.0
790	2005-11-08	790	790	790	Two Creeks, United States	44.3022186	-87.5631378	United States	Energy	Plant	POINT BEACH	1,2	?				Calculation errors could lead to degraded long-term ECCS cooling.	PWR	Operational	640	1970;1972		1	Emergency Core Cooling System (ECCS)	1	incorrect design calculation settings	H	0.0	1.0
791	1971-01-12	791	791	791	Two Creeks, United States	44.3022186	-87.5631378	United States	Energy	Plant	POINT BEACH	1	?		2		? During a routine check of the containment tendon access gal [DESCRIPTION INCOMPLETE]	PWR	Operational	640	1970	<LC> incomplete description	1						
792	1974-04-07	792	792	792	Two Creeks, United States	44.3022186	-87.5631378	United States	Energy	Plant	POINT BEACH	1	?		2		Inoperable EFW pumps during shutdown while the reactor was in cooldown mode, motor-driven EFW pump A did not provide adequate flow.  The operators were unaware that the in-line suction strainers were 95 percent plugged (both motor-driven pumps A and B).  Apartially plugged strainer was found in each of the suction lines for both turbine-driven EFW pumps.  	PWR	Operational	640	1970		1	Auxiliary feedwater pump (AFW/EFW)	1		?		
794	2008-01-15	794	794	794	Two Creeks, United States	44.3022186	-87.5631378	United States	Energy	Plant	POINT BEACH	1	?		1		Concurrent unavailabilities- station auxiliary transformer and 480V safety bus.  	PWR	Operational	640	1970		1	Power supply: 480 Vac safeguards bus, station auxiliary transformer	1,2	Inadequate design, test, maintenance	H	18.0	30.0
796	2001-11-29	796	796	796	Two Creeks, United States	44.3022186	-87.5631378	United States	Energy	Plant	POINT BEACH	1,2	?		2 to 3		Potential common-mode failure of all AFW pumps.	PWR	Operational	640	1970;1972		1	Auxiliary feedwater pump (AFW/EFW)	1	misalignment between plant design and plant procedures	H	0.0	0.0
797	2008-07-31	797	797	797	Red Wing, United States	44.5624676	-92.5338013	United States	Energy	Plant	PRAIRIE ISLAND	1	?		0 to 1		Turbine-driven auxiliary feedwater pump inoperable due to valve out-of-position.	PWR	Operational	566	1973		0	Auxiliary feedwater pump (AFW/EFW)	1	Inadequate inspection & maintenance	H	2.0	4.0
798	2010-10-22	798	798	798	Red Wing, United States	44.5624676	-92.5338013	United States	Energy	Plant	PRAIRIE ISLAND	1	?		1 to 2		Battery chargers potentially inoperable because of an under-voltage condition.  	PWR	Operational	566	1973		1	Power supply: safety-related battery chargers	1	Inadequate design	H	0.0	0.0
799	2000-11-01	799	799	799	Red Wing, United States	44.5624676	-92.5338013	United States	Energy	Plant	PRAIRIE ISLAND	1,2	?		1		Potential unavailability of service water (SW) pumps due to improper design modification of backflush system and failure of vacuum valves.	PWR	Operational	566;560	1973;1974		1	Essential Service Water (ESW) system	1	inadequate design review	H	1.0	10.0
800	2008-07-28	800	800	800	Red Wing, United States	44.5624676	-92.5338013	United States	Energy	Plant	PRAIRIE ISLAND	2	?		1 to 2		Potential unavailability of the component cooling water system during a postulated high-energy linebreak due to inadequate design.  	PWR	Operational	560	1974		1	Component cooling water (CCW) system	2	inadequate design control	H	2.0	3.0
802		802	802	802	Cordova, United States	60.5439444	-145.7589103	United States	Energy	Plant	QUAD CITIES	1	?		0 to 1		ERVs were inoperable during extended power uprateconditions because of inadequate power uprate evaluation.  	BWR	Operational	940	1972		0	electromatic relief valve (ERV)	1	inadequate design control	H	8.0	12.0
803	2001-08-02	803	803	803	Cordova, United States	60.5439444	-145.7589103	United States	Energy	Plant	QUAD CITIES	1,2	?		1		Reactor scram attributable to failure of main power transformer.  	BWR	Operational	940	1972		1	Natural hazards: lightning	3		T	35.0	50.0
805	2006-10-19	805	805	805	St. Francisville, United States	30.7807244	-91.3763353	United States	Energy	Plant	RIVER BEND	1	?		1		Automatic reactor scram due to inadvertent isolation of main feedwater.  	BWR	Operational	1016	1985		1	Main Feedwater header	2		T	6.0	8.0
806	2012-05-24	806	806	806	St. Francisville, United States	30.7807244	-91.3763353	United States	Energy	Plant	RIVER BEND	1	?		2		Loss of normal service water, circulating water, and feedwater caused by electrical fault.  	BWR	Operational	1016	1985		1	Main Reactor Feedwater Pump	2		T	16.0	20.0
807	2004-12-10	807	807	807	St. Francisville, United States	30.7807244	-91.3763353	United States	Energy	Plant	RIVER BEND	1	?		1		Reactor trip due to loss of a non-vital 120V instrument bus.	BWR	Operational	1016	1985		1	Power supply: non-safety related instrument bus	2	failed circuit board	T	5.0	10.0
808	2012-10-02	808	808	808	Hartsville, United States	34.3740431	-80.0734005	United States	Energy	Plant	ROBINSON	2	?		0 to 1		Failure of dedicated shutdown diesel generator.	PWR	Operational	780	1970		0	dedicated shutdown diesel generator (DSDG)	1	Inadequate inspection & maintenance	H	0.0	1.0
809	1978-11-27	809	809	809	Salem, United States	44.9391565	-123.033121	United States	Energy	Plant	SALEM	1	?		3		Loss of vital bus and scram; multiple components lost. While the reactor was at 100-percent power, vital instrument bus B was lost as a result of the failure of an output transformer and two regulating resistors. Loss of the vital bus caused a false low RCS loop flow signal, thereby causing a reactor trip. Two AFW pumps failed to start (one because of the loss of vital bus B, and the other because of a maladjustment of the over-speed trip mechanism). Inadvertent safety injection occurred as a result of decreasing average coolant temperature and safety injection signals.	PWR	Operational	1254	1976		1	Power supply: vital instrument bus, AFW	1		?		
